FID;KABUPATEN;KECAMATAN;FIRST_KABU;FIRST_PROV;FIRST_NEGA;FIRST_LUAS;kepadatan
0;Klaten;BAYAT;KLATEN;JAWA TENGAH;INDONESIA;41.083 sq km;53434
1;Klaten;CAWAS;KLATEN;JAWA TENGAH;INDONESIA;37.110 sq km;50530
2;Klaten;DELANGGU;KLATEN;JAWA TENGAH;INDONESIA;19.989 sq km;39564
3;Klaten;GANTIWARNO;KLATEN;JAWA TENGAH;INDONESIA;27.321 sq km;34459
4;Klaten;JATINOM;KLATEN;JAWA TENGAH;INDONESIA;36.901 sq km;54150
5;Klaten;JOGONALAN;KLATEN;JAWA TENGAH;INDONESIA;28.068 sq km;54337
6;Klaten;JUWIRING;KLATEN;JAWA TENGAH;INDONESIA;31.803 sq km;53802
7;Klaten;KALIKOTES;KLATEN;JAWA TENGAH;INDONESIA;14.202 sq km;33512
8;Klaten;KARANGANOM;KLATEN;JAWA TENGAH;INDONESIA;26.322 sq km;40865
9;Klaten;KARANGDOWO;KLATEN;JAWA TENGAH;INDONESIA;31.140 sq km;38644
10;Klaten;KARANGNONGKO;KLATEN;JAWA TENGAH;INDONESIA;30.420 sq km;32564
11;Klaten;KEBONARUM;KLATEN;JAWA TENGAH;INDONESIA;11.200 sq km;17879
12;Klaten;KEMALANG;KLATEN;JAWA TENGAH;INDONESIA;58.556 sq km;35768
13;Klaten;KLATEN SELATAN;KLATEN;JAWA TENGAH;INDONESIA;15.333 sq km;43448
14;Klaten;KLATEN TENGAH;KLATEN;JAWA TENGAH;INDONESIA;10.175 sq km;40046
15;Klaten;PEDAN;KLATEN;JAWA TENGAH;INDONESIA;20.478 sq km;42736
16;Klaten;POLANHARJO;KLATEN;JAWA TENGAH;INDONESIA;25.784 sq km;36555
17;Klaten;PRAMBANAN;KLATEN;JAWA TENGAH;INDONESIA;27.184 sq km;49030
18;Klaten;TRUCUK;KLATEN;JAWA TENGAH;INDONESIA;36.784 sq km;70601
19;Klaten;WEDI;KLATEN;JAWA TENGAH;INDONESIA;27.019 sq km;47374
20;Klaten;CEPER;KLATEN;JAWA TENGAH;INDONESIA;26.018 sq km;58729
21;Klaten;KLATEN UTARA;KLATEN;JAWA TENGAH;INDONESIA;11.662 sq km;46556
22;Klaten;MANISRENGGO;KLATEN;JAWA TENGAH;INDONESIA;31.395 sq km;39622
23;Klaten;NGAWEN;KLATEN;JAWA TENGAH;INDONESIA;18.777 sq km;40534
24;Klaten;TULUNG;KLATEN;JAWA TENGAH;INDONESIA;35.270 sq km;45583
25;Klaten;WONOSARI;KLATEN;JAWA TENGAH;INDONESIA;33.830 sq km;58473
